account_id,mmr_estimate,lane_role_0_games,lane_role_0_wins,lane_role_0_loss,lane_role_1_games,lane_role_1_wins,lane_role_1_loss,lane_role_2_games,lane_role_2_wins,lane_role_2_loss,lane_role_3_games,lane_role_3_wins,lane_role_3_loss,lane_role_4_games,lane_role_4_wins,lane_role_4_loss,avg_kills,avg_deaths,avg_assists,avg_kda,avg_tower_damage,avg_hero_damage,avg_hero_healing,avg_stuns,avg_tower_kills,avg_neutral_kills,avg_courier_kills,avg_denies,avg_last_hits,win_rate
88470,6890,249,152,97,2,1,1,1,1,0,3,2,1,0,0,0,12.243,5.467,11.102,4.745,2447.698,18614.627,191.675,21.81,1.167,63.833,0.333,6.188,209.071,0.611764705882353
639740,3176,927,478,449,16,6,10,5,2,3,3,1,2,1,0,1,5.803,7.66,12.516,2.353,1468.703,12577.798,635.601,54.865,0.48,9.76,0.04,3.022,94.606,0.5115546218487395
1296625,5680,2661,1604,1057,56,38,18,73,52,21,59,37,22,12,7,5,9.906,5.963,11.753,4.07,1874.561,16151.775,346.182,53.576,1.637,48.368,0.127,8.355,152.579,0.6074799021321217
1400303,5862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1470116,3326,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4.714,9.286,16.0,1.857,793.5,11618.5,200.0,0.0,0.0,0.0,0.0,1.0,66.429,0.42857142857142855
3916428,7275,281,181,100,11,4,7,9,5,4,6,4,2,0,0,0,7.153,6.873,11.638,2.844,1524.891,11752.745,966.836,25.779,0.214,12.964,0.107,3.502,97.834,0.6319218241042345
3940262,7358,3984,2748,1236,8,6,2,14,11,3,4,3,1,4,2,2,9.464,5.886,10.517,3.754,2323.32,14076.09,331.923,39.968,1.581,42.419,0.097,7.17,175.932,0.6900847035376183
4281729,5619,1324,734,590,10,2,8,8,1,7,7,2,5,1,0,1,10.069,6.85,11.984,3.576,1663.06,15417.762,615.37,34.519,0.333,13.727,0.0,12.847,145.453,0.5474074074074075
5150808,7346,887,555,332,3,2,1,9,4,5,0,0,0,0,0,0,10.377,5.782,9.57,3.731,1488.067,15056.156,169.355,19.566,1.583,79.25,0.0,10.199,143.334,0.6240266963292548
6103402,6505,1337,765,572,1,1,0,1,0,1,2,2,0,0,0,0,8.902,6.342,10.33,3.115,1811.233,13080.717,317.069,12.355,0.25,8.5,0.0,6.486,165.348,0.5727069351230425
